hour,actual,predicted,residual
0,11.7,29.634508,17.93451
1,10.0,29.634882,19.634882
2,16.400002,29.64887,13.248869
3,7.7,29.66834,21.968342
4,9.6,29.689146,20.089146
5,4.4,29.709187,25.309187
6,8.099999,29.705303,21.605305
7,3.7,29.686634,25.986633
8,13.9,29.657982,15.757982
9,11.0,29.628706,18.628706
10,9.7,29.599411,19.89941
11,14.200001,29.576813,15.376812
12,12.099999,29.552877,17.452877
13,14.200001,29.525894,15.325893
14,9.4,29.508219,20.10822
15,14.099999,29.500494,15.400495
16,14.9,29.503307,14.603308
17,12.6,29.525454,16.925453
18,10.3,29.560951,19.260952
19,9.0,29.595152,20.595152
20,8.8,29.624458,20.82446
21,6.7,29.65065,22.95065
22,6.7999997,29.667316,22.867317
23,6.6,29.680742,23.080742
24,6.4,29.687607,23.287607
25,9.299999,29.694584,20.394585
26,6.8999996,29.708345,22.808346
27,7.2000003,29.733389,22.533388
28,7.4,29.766237,22.366238
29,6.5,29.796045,23.296045
30,7.9999995,29.806894,21.806894
31,11.3,29.81301,18.513008
32,12.0,29.802057,17.802057
33,11.9,29.787676,17.887676
34,8.400001,29.76358,21.363579
35,10.2,29.73943,19.539429
36,12.099999,29.70742,17.607422
37,13.3,29.676046,16.376045
38,10.0,29.647692,19.647692
39,5.4,29.636602,24.236603
40,2.8999999,29.645311,26.745312
41,2.8999999,29.697319,26.79732
42,4.6,29.775503,25.175503
43,4.3,29.862455,25.562454
44,3.0,29.939594,26.939594
45,8.400001,30.008957,21.608955
46,4.1000004,30.062408,25.962408
47,3.8,30.105976,26.305977
48,10.700001,30.134132,19.434132
49,10.599999,30.150335,19.550335
50,2.8999999,30.160213,27.260214
51,9.6,30.168663,20.568663
52,6.0,30.172205,24.172205
53,5.7999997,30.175648,24.375648
54,2.6,30.177975,27.577974
55,9.299999,30.15832,20.85832
56,6.8999996,30.115572,23.215572
57,9.9,30.062847,20.162848
58,10.2,30.013742,19.813744
59,10.4,29.963036,19.563036
60,9.8,29.919622,20.119621
61,14.6,29.88428,15.284279
62,10.1,29.856094,19.756094
63,12.499999,29.843298,17.3433
64,13.4,29.855967,16.455967
65,11.0,29.909286,18.909286
66,10.599999,29.981491,19.381493
67,6.2,30.064299,23.8643
68,1.4,30.14074,28.74074
69,6.2,30.196129,23.996128
70,3.5000002,30.23419,26.73419
71,1.5,30.260918,28.760918
72,6.1,30.2742,24.1742
73,6.0,30.276892,24.276892
74,4.1000004,30.276564,26.176563
75,5.2,30.276163,25.076164
76,6.2,30.25669,24.05669
77,9.7,30.242348,20.542347
78,10.2,30.229692,20.029694
79,4.1000004,30.204527,26.104527
80,12.6,30.168678,17.568678
81,12.099999,30.132263,18.032265
82,8.099999,30.089056,21.989056
83,11.9,30.04059,18.14059
84,8.3,29.99443,21.694431
85,10.8,29.955345,19.155346
86,12.900001,29.92172,17.02172
