station_id,mae,rmse,latitude,longitude,state_name
1-101-1002,21.323292,21.824974,32.412811,-86.263394,Alabama
1-103-11,20.020811,20.34439,34.530717,-86.967536,Alabama
1-113-3,52.135727,52.14756,32.437028,-84.999653,Alabama
1-119-3,69.90231,70.01593,32.362606,-88.277992,Alabama
1-125-11,12.6336,13.1449,33.095379,-87.481507,Alabama
1-27-1,24.740093,24.983742,33.284928,-85.803608,Alabama
1-3-10,26.86094,27.26955,30.497478,-87.880258,Alabama
1-49-1003,26.989536,27.399988,34.288567,-85.969858,Alabama
1-55-10,15.548056,16.313776,33.98821,-85.992556,Alabama
1-73-1010,36.50161,36.831097,33.545278,-86.549167,Alabama
1-89-14,13.326439,13.906859,34.68547,-86.58816,Alabama
1-97-3,36.057285,36.360943,30.770181,-88.087761,Alabama
10-1-2,49.747353,49.820755,38.986681,-75.556818,Delaware
10-1-3,57.84904,57.93242,39.15564,-75.51821,Delaware
10-3-1003,87.65897,87.77152,39.761273,-75.492047,Delaware
10-3-1007,77.14028,77.28789,39.551279,-75.732015,Delaware
10-3-1008,78.78956,78.8583,39.577647,-75.603659,Delaware
10-3-2004,79.577194,79.71664,39.739441,-75.557534,Delaware
10-5-1002,48.4755,48.662518,38.65392,-75.610605,Delaware
11-1-41,73.8504,74.02183,38.895572,-76.958072,District
11-1-43,49.312683,49.51433,38.921847,-77.013178,District
11-1-51,70.73715,70.89797,38.89477,-76.953426,District
11-1-53,48.88221,49.09666,38.875161,-77.012816,District
12-1-3012,15.3161955,15.538215,29.566112,-82.26608,Florida
12-103-18,34.864872,35.139538,27.785866,-82.739875,Florida
12-103-4,18.707912,18.9276,27.946688,-82.731767,Florida
12-105-6006,31.03793,31.196287,28.028889,-81.972222,Florida
12-11-2003,39.55948,39.863464,26.291088,-80.096353,Florida
12-11-33,23.513617,23.660887,26.073536,-80.33845,Florida
12-11-34,31.365744,31.515657,26.053889,-80.256944,Florida
12-11-35,24.980978,25.205935,26.132677,-80.169817,Florida
12-11-5005,25.488752,25.600353,26.294167,-80.176389,Florida
12-115-13,22.477158,22.731323,27.290556,-82.507222,Florida
12-117-1002,23.138603,23.416338,28.746111,-81.310556,Florida
12-127-5002,30.485949,30.781048,29.206667,-81.0525,Florida
12-31-108,26.44328,26.86489,30.262778,-81.606833,Florida
12-31-98,24.17273,24.455801,30.135797,-81.633981,Florida
12-31-99,22.232183,22.654871,30.354722,-81.547778,Florida
12-33-4,31.995275,32.551003,30.525367,-87.20355,Florida
12-57-113,18.411324,18.71678,27.955133,-82.469532,Florida
12-57-3002,19.53298,20.0802,27.96565,-82.2304,Florida
12-71-5,12.795223,12.796873,26.602016,-81.877908,Florida
12-85-7,24.572618,24.78106,27.172458,-80.240689,Florida
12-86-1016,30.369797,30.53221,25.794222,-80.215556,Florida
12-9-7,29.355677,29.556171,28.053611,-80.628611,Florida
12-95-2002,20.56372,20.814611,28.596389,-81.3625,Florida
12-99-2005,21.33406,21.485252,26.456944,-80.092778,Florida
12-99-22,19.97669,20.188046,26.687606,-80.219619,Florida
12-99-8,22.756828,22.975367,26.724786,-80.666447,Florida
13-127-6,33.83671,34.31756,31.169805,-81.495035,Georgia
13-135-2,55.362556,55.654873,33.9632,-84.0691,Georgia
13-139-3,26.339615,26.889917,34.2993,-83.8134,Georgia
13-153-1,21.670116,22.224884,32.6056,-83.5978,Georgia
13-185-3,47.60959,48.295605,30.8486,-83.2933,Georgia
13-21-12,23.039518,23.561441,32.805264,-83.543493,Georgia
13-215-8,58.412613,58.735355,32.521272,-84.944635,Georgia
13-245-91,31.144571,31.763931,33.4339,-82.0224,Georgia
13-295-4,29.724676,30.568293,34.9784,-85.2943,Georgia
13-303-1,66.98812,67.25357,32.967359,-82.806871,Georgia
13-51-1002,26.067598,26.671774,32.090779,-81.130222,Georgia
13-59-2,50.011917,50.26783,33.918137,-83.344385,Georgia
13-89-2,14.541599,15.303436,33.6878,-84.2905,Georgia
13-95-7,51.3585,51.857777,31.5776,-84.0998,Georgia
15-1-1006,8.933822,9.352802,19.717562,-155.11053,Hawaii
15-1-1012,16.200972,16.500883,19.509778,-155.913417,Hawaii
15-1-2016,19.90445,20.08958,19.2039,-155.480183,Hawaii
15-1-2020,24.400629,24.629993,19.117561,-155.778136,Hawaii
15-1-2021,8.988894,9.247018,19.977467,-155.798067,Hawaii
15-1-2023,72.869095,72.94161,19.555444,-155.102028,Hawaii
15-1-3027,16.032358,16.221138,19.611914,-155.055037,Hawaii
15-1-3033,15.736032,15.89566,19.060655,-155.579159,Hawaii
15-1-3034,9.216118,9.5525875,19.618158,-155.971242,Hawaii
15-1-5,14.403487,14.501617,19.4308,-155.2578,Hawaii
15-3-10,30.32322,30.424437,21.323745,-158.088613,Hawaii
15-3-1001,55.7215,55.75672,21.30758,-157.85542,Hawaii
15-3-1004,26.523996,26.673838,21.303382,-157.871171,Hawaii
15-9-25,16.135178,16.325375,20.869627,-156.493626,Hawaii
17-111-1,42.888126,43.135715,42.221442,-88.242207,Illinois
17-113-2003,55.372997,55.478104,40.518735,-88.996896,Illinois
17-115-13,57.771976,57.908672,39.866834,-88.925594,Illinois
17-143-37,17.242805,17.657265,40.697007,-89.584737,Illinois
17-157-1,21.593525,21.946129,38.176278,-89.788459,Illinois
17-161-3002,48.68537,48.864532,41.514727,-90.51735,Illinois
17-163-10,27.925798,28.59743,38.612034,-90.160477,Illinois
17-167-12,45.947414,46.13645,39.831921,-89.644164,Illinois
17-19-1001,54.287033,54.37263,40.05278,-88.37251,Illinois
17-197-1002,58.168682,58.352013,41.526885,-88.116474,Illinois
17-197-1011,41.321358,41.480083,41.221537,-88.190967,Illinois
17-201-118,50.840935,51.128704,42.267,-89.08917,Illinois
17-31-119,47.13186,47.35793,41.57862,-87.557406,Illinois
17-31-3103,39.437546,39.74041,41.965193,-87.876265,Illinois
17-31-4007,48.75366,48.95179,42.060285,-87.863225,Illinois
17-31-4201,43.042572,43.283775,42.139996,-87.799227,Illinois
17-43-4002,48.102898,48.332912,41.771071,-88.152534,Illinois
17-65-2,28.228148,28.464388,38.082155,-88.624943,Illinois
17-83-117,30.405382,30.7119,39.101439,-90.344494,Illinois
18-105-3,47.90601,48.06267,39.159383,-86.504762,Indiana
18-127-24,83.238174,83.448746,41.6175,-87.199167,Indiana
18-141-15,45.252228,45.482464,41.69666,-86.214722,Indiana
18-157-8,49.24315,49.418865,40.431667,-86.8525,Indiana
18-163-21,31.717007,32.050343,38.013333,-87.577222,Indiana
18-167-18,58.012726,58.418682,39.485987,-87.401312,Indiana
18-183-3,48.607307,48.73697,41.169646,-85.629292,Indiana
18-19-10,31.127054,31.51889,38.288191,-85.741337,Indiana
18-39-8,51.899326,52.34379,41.657155,-85.968446,Indiana
18-43-8,62.382183,62.507942,38.317813,-85.833322,Indiana
18-5-8,35.91801,36.100163,39.237457,-85.891332,Indiana
18-55-1,40.10078,40.22096,38.985477,-86.990419,Indiana
18-57-7,43.252785,43.402447,39.960884,-85.939546,Indiana
18-65-3,44.577045,44.68599,40.009544,-85.52347,Indiana
18-67-4,43.590332,43.732197,40.481347,-86.109688,Indiana
18-89-22,57.55942,57.729015,41.606662,-87.304943,Indiana
18-89-34,34.071976,34.444,41.653501,-87.435561,Indiana
18-89-36,38.968105,39.15965,41.594427,-87.495044,Indiana
18-95-11,51.24987,51.349003,40.125703,-85.652184,Indiana
18-97-78,50.98231,51.35574,39.810833,-86.114444,Indiana
18-97-81,53.606655,54.619884,39.788903,-86.214628,Indiana
18-97-87,56.616642,57.101936,39.787933,-86.13088,Indiana
19-103-2001,47.92834,48.13395,41.657232,-91.503478,Iowa
19-113-40,53.485115,53.74873,41.97677,-91.68766,Iowa
19-153-30,38.486366,38.757736,41.603159,-93.643118,Iowa
19-153-5885,40.612976,40.912773,41.667032,-93.599221,Iowa
19-163-15,43.029278,43.26403,41.530011,-90.587611,Iowa
19-45-19,75.02868,75.33835,41.823283,-90.211982,Iowa
2-110-4,24.088726,24.526543,58.388497,-134.567237,Alaska
2-170-8,31.318422,32.005665,61.534163,-149.031655,Alaska
2-20-18,19.805084,20.550806,61.205861,-149.824602,Alaska
20-133-3,29.546247,29.880602,37.67696,-95.47594,Kansas
20-173-10,20.623613,20.820656,37.702066,-97.314847,Kansas
20-177-13,23.135658,23.56739,39.024265,-95.711275,Kansas
20-191-2,31.706596,32.02455,37.47689,-97.366399,Kansas
20-195-1,30.669271,30.775686,38.770081,-99.763424,Kansas
20-209-21,30.208393,30.850885,39.117219,-94.635605,Kansas
20-91-10,38.880993,39.178963,38.838575,-94.746424,Kansas
21-111-1041,27.271967,27.521975,38.23158,-85.82678,Kentucky
21-111-51,29.26688,29.780035,38.06091,-85.89804,Kentucky
21-111-67,30.505695,30.753458,38.22876,-85.65452,Kentucky
21-111-75,43.3639,43.688744,38.1936,-85.7119,Kentucky
21-111-80,64.518974,64.60985,38.182435,-85.574361,Kentucky
21-13-2,22.883093,23.737709,36.60843,-83.73694,Kentucky
21-145-1024,68.77967,68.7965,37.05822,-88.57251,Kentucky
21-145-1027,21.222042,21.600018,37.08727,-88.60801,Kentucky
21-19-17,20.542128,20.879047,38.45934,-82.64041,Kentucky
21-193-3,49.678852,50.061886,37.28329,-83.20932,Kentucky
21-195-2,24.902996,25.188309,37.4826,-82.53532,Kentucky
21-199-3,20.09229,20.337765,37.09798,-84.61152,Kentucky
21-227-9,21.451403,21.728716,37.04926,-86.21487,Kentucky
21-37-3002,34.31724,34.425156,39.021881,-84.47445,Kentucky
21-43-500,22.007704,22.142752,38.23887,-82.9881,Kentucky
21-47-6,20.718245,21.281124,36.91171,-87.323337,Kentucky
21-59-5,21.043028,21.045713,37.780776,-87.075307,Kentucky
21-67-12,31.408573,31.557457,38.06503,-84.49761,Kentucky
21-93-6,20.791378,21.007519,37.705612,-85.852629,Kentucky
22-19-8,29.877796,30.560904,30.262347,-93.284906,Louisiana
22-33-9,24.689781,25.286137,30.461981,-91.179219,Louisiana
22-51-1001,90.0697,90.271545,30.041238,-90.272826,Louisiana
22-87-7,26.50583,27.00383,29.943164,-89.97625,Louisiana
23-1-11,11.055308,11.64452,44.089406,-70.214219,Maine
23-17-2011,19.400568,20.053087,44.551419,-70.546319,Maine
23-19-17,12.666196,13.258084,44.817398,-68.772762,Maine
23-29-33,14.120509,14.438298,44.963894,-67.061325,Maine
23-3-1011,22.681627,23.003296,46.682299,-68.016195,Maine
23-3-14,39.782585,40.07981,47.355332,-68.321106,Maine
23-5-29,15.651606,16.205395,43.660246,-70.268965,Maine
23-9-103,12.33094,12.621798,44.37705,-68.2609,Maine
24-15-3,59.64922,59.76043,39.702982,-75.864771,Maryland
24-19-4,30.019651,30.212896,38.587525,-76.141006,Maryland
24-23-2,31.515856,31.642466,39.70595,-79.012,Maryland
24-25-1001,52.771317,52.959507,39.410191,-76.296946,Maryland
24-27-6,43.521397,43.709244,39.14313,-76.84611,Maryland
24-29-2,50.937786,51.044746,39.305021,-75.797317,Maryland
24-31-3001,39.914227,40.121292,39.114313,-77.106876,Maryland
24-33-30,44.01461,44.209106,39.055277,-76.878333,Maryland
24-43-9,41.036354,41.291183,39.564178,-77.720244,Maryland
24-5-1007,42.954586,43.20257,39.460478,-76.633543,Maryland
24-510-5253,51.224113,51.440704,39.33746,-76.58905,Maryland
25-11-2005,22.111279,22.883627,42.605816,-72.596689,Massachus
25-13-18,58.26616,58.48525,42.120229,-72.584503,Massachus
25-13-8,28.055237,28.452568,42.19438,-72.555112,Massachus
25-15-4002,23.18156,23.496645,42.298493,-72.334079,Massachus
25-17-10,14.814734,15.307443,42.612085,-71.306986,Massachus
25-21-2005,14.562168,15.004015,42.241229,-70.963346,Massachus
25-23-5,23.540815,23.978857,42.065106,-71.012129,Massachus
25-25-1004,13.875988,14.421697,42.387222,-71.026111,Massachus
25-25-2,14.520324,14.943558,42.348873,-71.097163,Massachus
25-25-42,14.139,14.594202,42.3295,-71.0826,Massachus
25-25-44,15.571456,16.03226,42.325186,-71.056061,Massachus
25-25-45,13.677037,14.120749,42.349954,-71.059194,Massachus
25-27-23,25.404686,25.837154,42.263955,-71.794322,Massachus
25-3-6001,24.749657,25.186722,42.702223,-73.110414,Massachus
25-3-8,33.734756,33.993404,42.452299,-73.239648,Massachus
25-5-1004,22.956276,23.372433,41.685707,-71.169235,Massachus
25-9-2006,73.99123,74.09601,42.474642,-70.970816,Massachus
25-9-5005,29.592085,29.934994,42.770837,-71.10229,Massachus
26-113-1,46.288864,46.3971,44.310555,-84.891865,Michigan
26-139-5,49.22063,49.438183,42.894444,-85.852778,Michigan
26-147-5,70.36781,70.55249,42.953336,-82.456229,Michigan
26-153-1,21.384195,21.631622,46.288877,-85.950227,Michigan
26-161-8,39.27709,39.57478,42.240556,-83.599722,Michigan
26-163-1,43.256107,43.5205,42.228611,-83.208333,Michigan
26-163-100,46.102642,46.47399,42.312078,-83.103469,Michigan
26-163-1013,38.739555,38.800396,42.388405,-82.979793,Michigan
26-163-15,20.245052,21.14609,42.302778,-83.106667,Michigan
26-163-33,75.12015,75.33571,42.306666,-83.148889,Michigan
26-163-93,39.034893,39.43366,42.385998,-83.266189,Michigan
26-163-97,70.4734,70.64476,42.261669,-83.157893,Michigan
26-163-98,39.239285,39.976055,42.312158,-83.091943,Michigan
26-163-99,48.644466,49.47072,42.295824,-83.129431,Michigan
26-17-14,43.335632,43.53371,43.571391,-83.890721,Michigan
26-49-21,45.158997,45.36382,43.047224,-83.670159,Michigan
26-5-3,23.273407,23.592157,42.767786,-86.148577,Michigan
